date,open,high,low,close,volume,amount,code,name,return,is_extreme,industry,index_hs300,index_zz500,cpi,m2_yoy
2022-07-21,2148.051243,2156.5704264,2094.5020902,2104.2382998,98551935,1707259918.52,2,万科A,-0.026820437868824907,False,房地产,4236.0578,6347.5984,2.5,12.0
2022-07-22,2105.455326,2128.5788238,2082.3318282,2115.1915356,60168022,1040473262.33,2,万科A,0.005191820142046817,False,房地产,4238.2341,6289.5325,2.5,12.0
2022-07-25,2116.4085618,2163.8725836,2111.540457,2129.79585,67512871,1185932181.06,2,万科A,0.006880761092222507,False,房地产,4212.6441,6231.2355,2.5,12.0
2022-07-26,2129.79585,2213.7706578,2096.9361426,2196.732291,115735750,2067176290.59,2,万科A,0.03094480384942149,False,房地产,4245.9758,6307.956,2.5,12.0
2022-07-27,2177.2598718,2184.562029,2145.6171906,2161.4385312,59705091,1061623024.12,2,万科A,-0.0161969472148659,False,房地产,4225.0357,6332.2327,2.5,12.0
2022-07-28,2157.7874526,2169.9577146,2132.2299024,2148.051243,62719633,1108737327.61,2,万科A,-0.006212954184718252,False,房地产,4225.6733,6348.1655,2.5,12.0
2022-07-29,2137.0980072,2151.7023216,2090.8510116,2094.5020902,80530398,1395216272.04,2,万科A,-0.025245173155857652,False,房地产,4170.1019,6294.1144,2.5,12.0
2022-08-01,2085.9829068,2087.199933,2049.4721208,2053.1231994,73200234,1239707852.69,2,万科A,-0.01995371366557119,False,房地产,4188.6784,6347.2211,2.7,12.2
2022-08-02,2038.518885,2038.518885,1986.1867584,2010.5272824,68686869,1134409156.83,2,万科A,-0.02096512846504485,False,房地产,4107.024,6169.9961,2.7,12.2
2022-08-03,2009.3102562,2028.7826754,1952.1100248,1954.5440772,81500417,1329390214.75,2,万科A,-0.028240059574216464,False,房地产,4066.9754,6124.3146,2.7,12.2
2022-08-04,1956.9781296,1986.1867584,1949.6759724,1975.2335226,38835684,628260391.32,2,万科A,0.010529673007884273,False,房地产,4101.5367,6158.7346,2.7,12.2
2022-08-05,1975.2335226,2004.4421514,1963.0632606,2003.2251252,37714561,615628062.59,2,万科A,0.014071813722423939,False,房地产,4156.9111,6270.5113,2.7,12.2
2022-08-08,2008.09323,2044.604016,1971.582444,1980.1016274,59221079,970887803.64,2,万科A,-0.011610274017977321,False,房地产,4148.0746,6323.0746,2.7,12.2
2022-08-09,1978.8846012,1989.837837,1961.8462344,1975.2335226,41747816,676529159.48,2,万科A,-0.002461539704446572,False,房地产,4156.2907,6341.4806,2.7,12.2
2022-08-10,1965.497313,1974.0164964,1949.6759724,1959.412182,42687575,687091533.31,2,万科A,-0.00804210953608256,False,房地产,4109.7373,6322.0558,2.7,12.2
2022-08-11,1964.2802868,1983.752706,1958.1951558,1981.3186536,62211501,1007490073.24,2,万科A,0.011118088583976926,False,房地产,4193.5428,6439.3586,2.7,12.2
2022-08-12,1972.7994702,1995.922968,1960.6292082,1993.4889156,53430166,870359062.86,2,万科A,0.006123717850528984,False,房地产,4191.152,6420.853,2.7,12.2
2022-08-15,1983.752706,2010.5272824,1977.667575,1982.5356798,51121519,835979776.63,2,万科A,-0.0055096558109695845,False,房地产,4185.6794,6442.8093,2.7,12.2
2022-08-16,1995.922968,2039.7359112,1993.4889156,2011.7443086,79459023,1316120153.57,2,万科A,0.014625489218979012,False,房地产,4177.837,6465.1866,2.7,12.2
2022-08-17,2004.4421514,2075.029671,1983.752706,2054.3402256,94424893,1582396359.63,2,万科A,0.0209525773348781,False,房地产,4216.9586,6493.5047,2.7,12.2
2022-08-18,2053.1231994,2053.1231994,2016.6124134,2043.3869898,63900061,1069201871.65,2,万科A,-0.005346018078361562,False,房地产,4180.0996,6468.8056,2.7,12.2
2022-08-19,2038.518885,2105.455326,2023.9145706,2070.1615662,71117015,1212848980.06,2,万科A,0.01301793531832088,False,房地产,4151.0738,6391.7159,2.7,12.2
